BV2022,Bassin de vie,salair_moy,tx_pauvrete
26325,Saint-Rambert-d'Albon,14.39,14
26333,Saint-Vallier,14.31,13.9
26362,Valence,14.88,15.4
27016,Les Andelys,14.42,12.2
27051,Beaumont-le-Roger,14.26,12
27056,Bernay,14.32,14
27065,Beuzeville,15.19,10.8
27103,Bourg-Achard,15.96,7
27105,Grand Bourgtheroulde,16.29,5.4
27112,Breteuil,13.46,13.6
27116,Brionne,14.42,12
27165,Conches-en-Ouche,14.36,10.3
27170,Cormeilles,14.29,11.3
27198,Mesnils-sur-Iton,14.93,8.3
27226,Étrépagny,14.26,10.5
27229,Évreux,14.58,19
27246,Fleury-sur-Andelle,14.26,9.4
27275,Gaillon,15.78,11.4
27284,Gisors,15.38,11.9
27306,Guichainville,15.33,7.1
27375,Louviers,15.44,16.6
27428,Le Neubourg,15.29,7.9
27448,Pacy-sur-Eure,17.4,7
27467,Pont-Audemer,14.69,12.7
27469,Pont-de-l'Arche,15.57,8.5
27507,Saint-André-de-l'Eure,14.3,9.8
27679,Verneuil d'Avre et d'Iton,14.08,15.5
27681,Vernon,16.74,15.1
28007,Anet,16.79,6.9
28015,Auneau-Bleury-Saint-Symphorien,15.69,6.7
28051,Bonneval,13.99,9
28061,Brou,13.28,12.8
28085,Chartres,15.85,12.3
28088,Châteaudun,13.25,16.9
28089,Châteauneuf-en-Thymerais,14.67,7.7
28103,Cloyes-les-Trois-Rivières,14.08,10.7
28116,Courville-sur-Eure,14.91,7.3
28134,Dreux,14.69,17.8
28140,Épernon,18.38,6.5
28196,Illiers-Combray,14.15,8
28199,Janville-en-Beauce,14.16,9.6
28214,La Loupe,13.6,14.5
28227,Maintenon,18.13,5.7
28279,Nogent-le-Roi,16.75,8.1
28280,Nogent-le-Rotrou,13.33,13.7
28373,Senonches,13.25,13
28422,Les Villages Vovéens,13.92,9
29004,Bannalec,13.02,10.2
29019,Brest,15.12,13.3
29020,Briec,13.2,9.8
29024,Carhaix-Plouguer,12.84,15.9
29026,Châteaulin,13.34,11.3
29027,Châteauneuf-du-Faou,12.74,17.1
29039,Concarneau,14.76,10.5
29042,Crozon,13.65,10.7
29046,Douarnenez,13.57,11.9
29053,Le Faou,15.17,6.7
29058,Fouesnant,16.19,6.9
29069,Guilers,14.62,5.7
29103,Landerneau,14.56,7.1
29105,Landivisiau,13.41,10.9
29113,Lanmeur,14.02,10.7
29124,Lesneven,13.61,8.7
29147,Mellac,14.37,6.6
29150,Moëlan-sur-Mer,15.49,8.7
29151,Morlaix,14.02,12.3
29160,Plabennec,14.16,6.4
29162,Pleyben,13.14,13.6
29174,Plonéour-Lanvern,13.59,9.5
29178,Ploudalmézeau,14.71,7.1
29195,Plouguerneau,14.81,7.8
29197,Plouhinec,13.56,12.4
29199,Plouigneau,13.34,14.2
29218,Pont-Croix,12.76,11.6
29220,Pont-l'Abbé,14.15,9
29232,Quimper,14.26,11.4
29233,Quimperlé,14.04,9.8
29241,Rosporden,13.27,8.9
29259,Saint-Pol-de-Léon,13.67,10.5
29260,Saint-Renan,15.09,5.4
29274,Scaër,12.43,14.1
2A004,Ajaccio,14.53,14.2
2A041,Bonifacio,13.22,17.8
2A130,Grosseto-Prugna,15.66,14.1
2A247,Porto-Vecchio,13.54,19
2A249,Propriano,13.39,19.7
2A272,Sartène,13.3,23.9
2B033,Bastia,14.5,19.2
2B042,Borgo,13.6,19.6
2B050,Calvi,12.89,19.7
2B096,Corte,13.17,21.1
2B123,Ghisonaccia,13.27,26.2
2B134,L'Île-Rousse,13.34,20.8
2B207,Penta-di-Casinca,13.3,22.3
2B251,Prunelli-di-Fiumorbo,13.02,18.4
2B298,Saint-Florent,14.01,19.7
30003,Aigues-Mortes,14.81,15.5
30006,Aimargues,15.15,12.1
30007,Alès,13.48,21.6
30010,Anduze,13.51,19.5
30028,Bagnols-sur-Cèze,15.62,17.9
30029,Barjac,13.62,20.6
30032,Beaucaire,13.96,23.6
30034,Bellegarde,14.72,14.9
30037,Bessèges,12.35,31.8
30047,Bouillargues,15.11,12.4
30061,La Calmette,13.91,14.7
30062,Calvisson,17.34,9
30132,La Grand-Combe,12.21,30.6
30155,Manduel,14.33,13.5
30189,Nîmes,14.42,25
30202,Pont-Saint-Esprit,15.54,18.3
30210,Quissac,14.56,17.4
30212,Remoulins,15.1,13.9
30217,Rochefort-du-Gard,16.9,9.9
30221,Roquemaure,15.61,14.1
30227,Saint-Ambroix,13.2,23.5
30255,Saint-Geniès-de-Malgoirès,13.89,14.6
30258,Saint-Gilles,13.09,26.8
30263,Saint-Hippolyte-du-Fort,13.11,25
30269,Saint-Jean-du-Gard,12.36,29.1
30321,Sommières,16.02,13.4
30334,Uzès,14.78,17.1
30341,Vauvert,14.08,18.5
30344,Vergèze,15.99,10.3
30350,Le Vigan,12.19,25.9
31033,Auterive,14.81,12
31042,Bagnères-de-Luchon,12.69,15.4
31066,Bessières,16.03,8.2
31080,Boulogne-sur-Gesse,14.12,21.4
31106,Caraman,16.64,8.9
31107,Carbonne,14.67,15.9
31135,Cazères,14.36,16.2
31202,Fronton,16.18,10
31232,Grenade,16.48,10.6
31239,L'Isle-en-Dodon,13.62,21.4
31324,Martres-Tolosane,14.17,14
31358,Montastruc-la-Conseillère,19.39,6.2
31390,Montréjeau,13.61,17.6
31396,Nailloux,16.57,9.2
31399,Noé,15.44,9.7
31421,Pins-Justaret,18.59,7
31451,Revel,14.07,15.1
31454,Rieumes,15.09,8.6
31483,Saint-Gaudens,13.68,18.6
31499,Saint-Lys,16.25,8.4
31523,Salies-du-Salat,14.34,15.6
31555,Toulouse,17.36,15.1
31573,Verfeil,18.54,6
31574,Vernet,17.56,7.1
31582,Villefranche-de-Lauragais,17.01,7.5
31584,Villemur-sur-Tarn,14.49,12
32013,Auch,13.67,14.1
32096,Cazaubon,12.41,19.8
32107,Condom,13,18.9
32119,Eauze,12.99,19.6
32132,Fleurance,13.15,15.1
32147,Gimont,14.69,12.7
32160,L'Isle-Jourdain,17.51,8.5
32208,Lectoure,13.85,16.4
32233,Marciac,12.71,19.6
32242,Masseube,12.81,17.5
32249,Mauvezin,14.79,14.1
32256,Mirande,13.06,17.3
32296,Nogaro,13.27,18.9
32319,Plaisance,12.74,19.9
32344,Riscle,12.51,15.1
32410,Samatan,14.95,11.9
32462,Vic-Fezensac,13.34,17.3
33005,Andernos-les-Bains,18,7.5
33011,Arès,16.21,7.7
33036,Bazas,13.39,15.2
33042,Belin-Béliet,15.01,8.2
33051,Biganos,15.21,7.3
33058,Blaye,14.51,17.5
